Cast,Country,Date Added,Description,Director,Duration,Listed In,Rating,Release Year,Show Id,Title,Type
"Matthew Macfadyen, Jerome Flynn, Adam Rothenberg, David Wilmot, MyAnna Buring, David Dawson, Amanda Hale, Charlene McKenna, Jonathan Barnwell, Clive Russell","United Kingdom, Ireland",9/8/2017,"It's been six months since the last Jack the Ripper killing, and East London is hopeful that his reign of terror might have run its course.",,5 Seasons,"British TV Shows, Crime TV Shows, TV Dramas",TV-MA,2017,70270745,Ripper Street,TV Show
"Matt LeBlanc, Tamsin Greig, Stephen Mangan, Kathleen Rose Perkins, John Pankow, Mircea Monroe","United States, United Kingdom",1/6/2018,"Hoping to create an American version of their hit British sitcom, two screenwriters run into cultural obstacles, starting with the lead character.",,5 Seasons,"Classic & Cult TV, TV Comedies",TV-MA,2017,70175670,Episodes,TV Show
"Asher Keddie, Kat Stewart, Richard Davies, Linda Cropper, Jane Harber, Alicia Gardiner, Lachy Hulme, Eddie Perfect, Deborah Mailman, John Waters",Australia,9/13/2017,"A Melbourne obstetrician in her thirties struggles with the increasingly chaotic family, romantic and professional aspects of her life in this drama.",,7 Seasons,"TV Comedies, TV Dramas",TV-MA,2017,80118289,Offspring,TV Show
"Kentaro Kumagai, Akari Kito, Yuichi Nakamura, Reina Ueda, Satoshi Hino, Yoshitsugu Matsuoka, Natsumi Takamori, Ai Kayano, Takahiro Sakurai, Wataru Hatano, Yuichi Iguchi, Minori Suzuki, Megumi Nakajima, Yuhko Kaida, Chika Anzai, Yumi Uchiyama, Kaede Hondo, Satoshi Mikami, Ayane Sakura, Ari Ozawa, Tatsuhisa Suzuki, Hiro Shimono",Japan,7/1/2019,"Lone mage Siluca wanders the land of Atlatan, disgusted by its greedy nobility. When she meets knight errant Theo, she sees a chance to create peace.",,1 Season,Anime Series,TV-MA,2018,81086718,Record of Grancrest War,TV Show
"Hiroaki Hirata, Yuki Kaji, Asami Seto, Hiroki Touchi, Minoru Inaba, Ami Koshimizu, Toshiyuki Toyonaga, Shintaro Tanaka, Atsushi Goto, Toshiyuki Morikawa, Kaito Ishikawa, Satomi Sato, Yu Kitada, Mitsuki Saiga, Kazuya Nakai, Nozomi Kameda, Makoto Awane",Japan,3/2/2018,"Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target.",,1 Season,"Anime Series, Crime TV Shows, International TV Shows",TV-MA,2018,80097594,B: The Beginning,TV Show
"Yoshiki Nakajima, Reina Ueda, Shigeo Kiyama, Tarusuke Shingaki, Kohsuke Toriumi, Kentaro Tone, Hiroo Sasaki, Megumi Ogata",Japan,4/30/2019,"After scientists discover a mysterious substance that can influence human minds, two factions wage an all-out battle to control its awesome power.",,1 Season,"Anime Series, Crime TV Shows, International TV Shows",TV-MA,2018,80992853,Ingress: The Animation,TV Show
"Daisuke Ono, Satoshi Hino, Kazuyuki Okitsu, Yuka Nukui, Kaori Maeda, Hikaru Akao, Junichi Suwabe, Keiji Fujiwara",Japan,12/12/2018,"To pay for an epic blunder, three yakuza brothers are forced to alter their bodies, form a girl group and break into the underground J-Pop idol scene.",,1 Season,"Anime Series, International TV Shows",TV-MA,2018,80996957,Back Street Girls -GOKUDOLS-,TV Show
"Kouki Uchiyama, Ayumu Murase, Megumi Han, Ami Koshimizu, Atsuko Tanaka, Rikiya Koyama, Avu-chan, Kenjiro Tsuda, KEN THE 390, Subaru Kimura, Young Dais, Hannya, AFRA",Japan,1/5/2018,"With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo.",Masaaki Yuasa,1 Season,"Anime Series, International TV Shows, TV Horror",TV-MA,2018,80174974,Devilman Crybaby,TV Show
"Yuto Uemura, Takahiro Sakurai, Kenyu Horiuchi, Nanako Mori, Yusuke Kobayashi, Shunsuke Takeuchi, Junji Majima, Rie Takahashi, Hinata Tadokoro, Kenjiro Tsuda, Takehito Koyasu, Sayaka Ohara, Nobuo Tobita",Japan,12/21/2018,"In imperial Tokyo, a group calling themselves ""Jaegers"" secretly hunt the vampires seeking the Ark of Sirius. Among them is young werewolf, Yuliy.",,1 Season,"Anime Series, International TV Shows, TV Thrillers",TV-MA,2018,80997339,Sirius the Jaeger,TV Show
Jason Fox,,12/14/2018,"Exposing a rarely seen perspective on the drug wars, ex-Special Forces commando Jason Fox interviews dangerous traffickers and cartel members.",,1 Season,"British TV Shows, Crime TV Shows, Docuseries",TV-MA,2018,80240817,Inside the Real Narcos,TV Show
,United Kingdom,8/3/2018,Death row inmates convicted of capital murder give a firsthand account of their crimes in this documentary series.,,1 Season,"British TV Shows, Crime TV Shows, Docuseries",TV-MA,2018,80202283,I AM A KILLER,TV Show
"Michael C. Hall, Amanda Abbington, Marc Warren, Hannah Arterton, Audrey Fleurot, Nigel Lindsay",United Kingdom,2/5/2019,"After his teenage daughter goes missing, a widowed surgeon in an affluent neighborhood begins unearthing dark secrets about the people closest to him.",,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",TV-MA,2018,80201500,Safe,TV Show
"Carey Mulligan, John Simm, Nicola Walker, Billie Piper, Nathaniel Martello-White, Jeany Spark, Hayley Squires, Ben Miles, Saskia Reeves, Ahd","United Kingdom, United States",3/9/2018,"Investigating the murder of a pizza delivery man, a London detective uncovers a tangled conspiracy involving drug dealers, smugglers and spies.",,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",TV-MA,2018,80185171,Collateral,TV Show
"Tallulah Haddon, Simona Brown, Matthew Beard, Matthew Aubrey","United Kingdom, United States",6/29/2018,A lonely young woman hooked on a virtual reality game befriends a party girl who leads her into a world of new thrills and dark secrets.,,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",TV-MA,2018,80097225,Kiss Me First,TV Show
,United Kingdom,12/14/2018,This docuseries follows English soccer club Sunderland through the 2017-18 season as they try to bounce back after relegation from the Premier League.,,1 Season,"British TV Shows, Docuseries, International TV Shows",TV-MA,2018,80207046,Sunderland 'Til I Die,TV Show
,United Kingdom,6/29/2018,"In this history-steeped reality series, 14 contestants undergo the same rigorous four-day selection process as Britain's top-secret World War II spies.",,1 Season,"British TV Shows, International TV Shows, Reality TV",TV-MA,2018,80195811,Churchill’s Secret Agents: The New Recruits,TV Show
"Sorcha Groundsell, Percelle Ascott, Guy Pearce, Sam Hazeldine, Nadine Marshall, Jóhannes Haukur Jóhannesson, Laura Birn, Ingunn Beate Øyen, Arthur Hughes, Trond Fausa, Lise Risom Olsen, Philip Wright",United Kingdom,8/24/2018,Runaway teen lovers June and Harry find themselves swept up in a dangerous and confusing new world when June begins to display mysterious abilities.,,1 Season,"British TV Shows, International TV Shows, Romantic TV Shows",TV-MA,2018,80184405,The Innocents,TV Show
"Louis Hunter, Bella Dayne, Frances O'Connor, David Threlfall, Chloe Pirrie, Tom Weston-Jones, Alfred Enoch, Jonas Armstrong","United Kingdom, South Africa, Australia, United States",4/6/2018,"Searching for the woman promised to him by Aphrodite, herdsman Paris learns his true identity and falls for Helen of Sparta, igniting the Trojan War.",,1 Season,"British TV Shows, International TV Shows, Romantic TV Shows",TV-MA,2018,80175352,Troy,TV Show
"Lydia Wilson, Joel Fry, Brendan Coyle, James Frecheville, Claire Rushbrook, Joanna Scanlan, Pippa Haywood, Tara Fitzgerald, Richard Harrington, Sian Reese-Williams",United Kingdom,3/23/2018,"In the wake of a sudden tragedy, a London cellist unearths secrets that link her mother to the disappearance of a young girl in a small Welsh town.",,1 Season,"British TV Shows, International TV Shows, TV Dramas",TV-MA,2018,80184068,Requiem,TV Show
"Michaela Coel, John Goodman, Abena Ayivor, Noma Dumezweni, Ronald Guttman, Danny Sapani, Harriet Walter, Tyrone Huggins, Emmanuel Imani, Lucian Msamati, Tamara Tunie",United Kingdom,1/25/2019,"Adopted by a human rights attorney after the Rwandan genocide, legal investigator Kate Ashby confronts her past when she takes on war crimes cases.",,1 Season,"British TV Shows, International TV Shows, TV Dramas",TV-MA,2018,80145141,Black Earth Rising,TV Show
,United States,3/16/2018,"When a controversial cult leader builds a utopian city in the Oregon desert, conflict with the locals escalates into a national scandal.",,1 Season,"Crime TV Shows, Docuseries",TV-MA,2018,80145240,Wild Wild Country,TV Show
John Grisham,United States,12/14/2018,"This documentary adaptation of John Grisham's only nonfiction book raises troubling questions about two murder cases in Ada, Oklahoma, in the 1980s.",,1 Season,"Crime TV Shows, Docuseries",TV-MA,2018,80187030,The Innocent Man,TV Show
,United States,12/28/2018,"In Humboldt County, California, the big business of legal marijuana brings in visitors from around the world. Some are never seen again.",,1 Season,"Crime TV Shows, Docuseries",TV-MA,2018,80217475,Murder Mountain,TV Show
,"United States, Czech Republic",8/31/2018,Explore the psychological machinations and immoral behavior that define the most nefarious types of criminals.,,1 Season,"Crime TV Shows, Docuseries, International TV Shows",TV-MA,2018,80185065,Inside the Criminal Mind,TV Show
,France,6/8/2018,"Accident or murder? After the mysterious death of his wife, author Michael Peterson watches his life go under the microscope.",,1 Season,"Crime TV Shows, Docuseries, TV Mysteries",TV-MA,2018,80233441,The Staircase,TV Show
,United States,5/11/2018,This baffling true crime story starts with the grisly death of a pizza man who robs a bank with a bomb around his neck – and gets weirder from there.,"Trey Borzillieri, Barbara Schroeder",1 Season,"Crime TV Shows, Docuseries, TV Mysteries",TV-MA,2018,80158319,Evil Genius,TV Show
"Joong-hoon Park, Jin-mo Joo, Yang Ik-june, Moo-Yul Kim, Ji Soo, Young-chang Song, Hong-Fa Kim, Tae-ho Ryu, Yu-seok Kim, Soo-young Park, Yoon-hee Lee",South Korea,3/8/2018,"Ordered to take down a villainous business leader who controls the city, a prosecutor gathers a team of men who may not be so clean themselves.",,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",TV-MA,2018,80214772,Bad Guys: Vile City,TV Show
"Jung Yu-mi, Lee Kwang-soo, Bae Seong-woo, Bae Jong-ok, Sung Dong-il",South Korea,2/5/2019,The police officers at South Korea's busiest patrol division toil day and night as keepers of law and peace – but the reality is far from orderly.,,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",TV-MA,2018,80214523,Live,TV Show
"Diego Vásquez, Carolina Acevedo, Norma Nivia, Ana María Arango, Álvaro Bayona, Katherine Porto, Tiberio Cruz, Felipe Calero, Jimena Durán, Andrés Toro, Sebastián Sánchez, Isabella Barragán",Colombia,8/30/2019,"A near-death experience spurs a feared drug lord to leave behind his life of crime and infidelity, to the disbelief of everyone close to him.",,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,2018,80999091,The Good Bandit,TV Show
"Javier Rey, Tristán Ulloa, Antonio Durán 'Morris', Carlos Blanco, Manuel Lourenzo, Jana Pérez, Xosé Antonio Touriñán, Isabel Naveira, Eva Fernández, Juan Pablo Shuk",Spain,8/3/2018,"In 1980s Galicia, Spain, a young fisherman becomes a prosperous cocaine smuggler by providing Latin American suppliers with a European entry point.",,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,2018,80215500,Cocaine Coast,TV Show
"Paz Vega, Julio Bracho, Arantza Ruiz, Luisa Rubino, Lander Otaola, Iván Pellicer, José Manuel Poga, Mercedes Sampietro, Charo López, Roberto Álamo, Raúl Medina, Melina Matthews, Pedro Mari Sánchez, Odiseo Bichir",Spain,11/23/2018,A domestic abuse survivor orchestrates an elaborate deception to protect her family from her powerfully wealthy husband and his vindictive enemies.,,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,2018,80235857,Fugitiva,TV Show
"José Coronado, Álex González, Claudia Traisac, Luís Zahera, Pilar Castro, Àlex Monner, Giulia Charm, Unax Ugalde, Ricardo Gómez, Ledicia Sola, Leonor Watling, Patrick Criado, Xabier Deive, Camila Bossa, María Guinea, Édgar Vittorino, Javier Abad, Daniel Currás, Mercedes Castro, Paula Morado, Paula Pier, Carmela Martins, Denis Gómez, Miguel Borines, Ana Villagrasa, Xavier Estévez, Carlos Hipólito",Spain,2/8/2019,"When a Galician shipper and drug lord hiding his Alzheimer's disease plans to retire, his second-in-command plots to steal the empire from the heir.",,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,2018,80241001,Unauthorized Living,TV Show
"Ryo Ishibashi, Nobuaki Kaneko, Tomomi Maruyama, Kaito Yoshimura",Japan,7/27/2018,"Seeking a greater justice, a band of homeless assassins flays their human targets and delivers the tattooed skins as proof of a contract fulfilled.",,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",TV-MA,2018,80242950,Smoking,TV Show
"Wai Ai, Jim Chim Sui Man, Kwok-Pong Chan, Felix Lok, Sham Ka Ki, Elanne Kong, Kate Yeung, Ong Yi-hing, Sunny Lau",,12/22/2018,"To catch three criminal masterminds, a group of cops teams up with a forensic pathologist who can see a murder victim's final moments before death.",,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2018,81039096,Demon's Path,TV Show
"Charlotte Best, Elsa Pataky, Marco Pigossi, Aaron Jakubenko, Mattias Inwood, Dalip Sondhi, Alex Dimitriades, Richard Davies, Caroline Brazier, Peter O'Brien, Madeleine Madden",Australia,12/14/2018,"Ex-con Cal McTeer's return to her hometown of Orphelin Bay blows the lid off a generations-long conspiracy of silence around murder, drugs and Sirens.",,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2018,80191239,Tidelands,TV Show
"Dar Salim, Danica Curcic, Lars Ranthe, Marco Ilsø, Søren Malling, Jakob Oftebro",Denmark,11/13/2018,A war veteran plagued by guilt over his final mission teams up with his best friend's widow to infiltrate a dangerous Copenhagen biker gang.,,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2018,80193978,Warrior,TV Show
"Pihla Viitala, Lauri Tilkanen, Jani Volanen, Tommi Korpela, Pirjo Lonka, Riku Nieminen, Pamela Tola, Jonna Järnefelt, Raimo Grönberg","Finland, Germany",8/23/2018,"Just months after a tragic loss, detective Sofia Karppi investigates the murder of a woman with ties to a Helsinki construction company.",,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2018,80243728,Deadwind,TV Show
"Chloé Lambert, Philippe Dusseau, Emilie de Preissac, Marc Ruchmann, Blanche Veisberg, Eric Savin, Nicolas Gob, Catherine Vinatier, Thierry Godard",France,4/17/2018,Friends gathered at a remote chalet in the French Alps for a summer getaway are caught in a deadly trap as a dark secret from the past comes to light.,,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2018,80232914,The Chalet,TV Show
"Yvan Attal, Garance Marillier, Niels Schneider, Victor Assié, Rod Paradot, Anne Azoulay, Adel Bencherif",France,11/1/2019,"In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.",,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2018,81082327,Ad Vitam,TV Show
"Felix Kramer, Fahri Yardim, Anna Maria Mühe, Katharina Schüttler, Alina Stiegler, Urs Rechn, Sinan Farhangmehr, Kais Setti, Mohamed Issa, Hauke Diekamp, David Bennent, Deniz Orta, Katrin Saß, Sebastian Zimmler",Germany,12/7/2018,"Two cops investigate the murder of a famous Turkish-German soccer player, but one of them has underworld connections that mire the case in controversy.",,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2018,80189522,Dogs of Berlin,TV Show
"Friederike Becht, August Diehl, Wotan Wilke Möhring, Natalia Belitski, Ken Duken, Trystan Pütter, Christian Friedel, Juergen Maurer, Marc Hosemann, Susanne Wuest",Germany,12/21/2018,"When a singer is found murdered, with her scent glands excised from her body, detectives probe a group of friends who attended boarding school with her.",,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2018,80200596,Perfume,TV Show
"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach","Poland, United States",11/30/2018,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2018,80205593,1983,TV Show
"Alexander Petrov, Artyom Tkachenko, Valeria Shkirando, Marina Kaletskaya, Alisa Lozovskaya, Olga Sutulova, Fillip Gorenshtein, Olga Vinichenko, Petar Zakavitsa, Yan Gakharmanov",Russia,2/1/2019,"While investigating the mysterious death of a teacher, a grizzled detective gets caught up in the world of a high-stakes virtual reality game.",,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2018,81041414,Sparta,TV Show
"María Mera, Toni Salgado, Miquel Insua, Denis Gómez, Lucía Álvarez, Sara Sanz, Jimmy Núñez, Paloma Saavedra, Manuel Cortés, Yelena Molina, Ricardo de Barreiro, Nerea Barros, Santiago Cuquejo, Martina Stetson, Carlos Villarino",Spain,3/29/2019,"While investigating the disappearance of a teen girl in a tight-knit Galician town, a Civil Guard officer uncovers secrets linked to a loss of her own.",Miguel Conde,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2018,80992232,Bitter Daisies,TV Show
"Lapassalal Jiravechsoontornkul, Nontanun Anchuleepradit, Thanabordee Jaiyen, Pamiga Sooksawee, Pongsathon Laiwrakoran, Nara Thepnupa, Premanan Sripanich, Tanutchai Wijitvongtong, Wasu Sansingkeaw, Arpasiri Nitipon",Thailand,11/2/2018,"After a traumatic incident at a party makes her a target of gossip and derision, a young college student tries to change her school's toxic culture.",,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2018,80241877,The Judgement,TV Show
"Songsit Roongnophakunsri, Saksit Tangtong, Kathaleeya McIntosh, Sopitnapa Choompanee, Apasiri Nitibhon, Phollawat Manuprasert, Nappon Gomarachun, Patravadi Mejudhon, Kejmanee Wattanasin, Supoj Chancharoen, Pimmara Charoenpakdee, Thanapob Leeratanakajorn, Kritsanapoom Pibulsonggram, Teeradon Supapunpinyo, Kongyingyong Chonlathorn, Lapat Ngamchaweng, Sivakorn Adulsuttikul, Paris Intarakomalyasut, Jackrin Kungwankiatichai, Vachirawich Aranthanawong, Sawanya Paisarnpayak, Kanyawee Songmuang, Pitisak Yaowananon, Chavalit Chittanant, Thaneth Warakulnukroh",Thailand,12/29/2018,"When the head of the lucrative family business passes away, his will leaves the clan at extreme odds.",,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2018,81036061,In Family We Trust,TV Show
"Penn Badgley, Elizabeth Lail, Shay Mitchell, John Stamos, Luca Padovan, Zach Cherry",United States,12/26/2018,"Obsessed with an aspiring writer, a charming bookstore manager goes to extreme measures to insert himself into her life.",Lee Toland Krieger,1 Season,"Crime TV Shows, Romantic TV Shows, TV Dramas",TV-MA,2018,80211991,You,TV Show
"Raúl Méndez, Fernanda Castillo, Matias Novoa, Guillermo Quintanilla, Leonardo Daniel, Otto Sirgo, Alejandro Speitzer, Armando Hernández, Valentina Acosta, Elvira Monsell",,8/8/2018,"Siblings separated as children who no longer recognize each other are pitted against each other in a war involving drugs, crime and betrayal.",,1 Season,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",TV-MA,2018,81000207,Enemigo íntimo,TV Show
"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas","Mexico, United States",6/1/2019,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,,1 Season,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",TV-MA,2018,81034775,Falsa identidad,TV Show
"Michael Peña, Diego Luna, Tenoch Huerta, Joaquin Cosio, José María Yazpik, Matt Letscher, Alyssa Diaz","Mexico, United States",11/16/2018,"Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent.",,1 Season,"Crime TV Shows, TV Action & Adventure, TV Dramas",TV-MA,2018,80997085,Narcos: Mexico,TV Show
"Joel Kinnaman, James Purefoy, Martha Higareda, Renée Elise Goldsberry, Dichen Lachman, Will Yun Lee, Kristin Lehman, Chris Conner, Ato Essandoh, Tamara Taylor, Byron Mann",United States,2/2/2018,"After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",,1 Season,"Crime TV Shows, TV Action & Adventure, TV Dramas",TV-MA,2018,80097140,Altered Carbon,TV Show
"Clare-Hope Ashitey, Regina King, Beau Knapp, Michael Mosley, David Lyons, Russell Hornsby, Raúl Castillo, Patrick Murney",United States,2/23/2018,The death of a 15-year-old African American boy in Jersey City sets off a police cover-up and a search for the truth.,,1 Season,"Crime TV Shows, TV Dramas",TV-MA,2018,80117555,Seven Seconds,TV Show
"Josh Duhamel, Jimmi Simpson, Bokeem Woodbine",United States,2/27/2019,Ride along for a dramatized version of the real-life investigations into the murders of rap icons Tupac Shakur and Biggie Smalls.,,1 Season,"Crime TV Shows, TV Dramas",TV-MA,2018,80177416,Unsolved,TV Show
"Edgar Ramírez, Darren Criss, Ricky Martin, Penélope Cruz",United States,3/6/2019,"Defining moments in Andrew Cunanan's life, starting in childhood, lead up to a 1997 murder spree that kills five, including fashion icon Gianni Versace.",,1 Season,"Crime TV Shows, TV Dramas, TV Thrillers",TV-MA,2018,81091015,The Assassination of Gianni Versace,TV Show
Robert F. Kennedy,,4/27/2018,"Historic footage and leading voices of the era examine the ""Bobby Phenomenon"" of the 1960s and the legacy of the man who helped redefine the country.",Dawn Porter,1 Season,Docuseries,TV-MA,2018,80174282,Bobby Kennedy for President,TV Show
,United States,2/14/2018,"Brave people get onstage to read hilarious and humiliating tales of gawky teenage love, family dysfunction and other stories from their younger years.",,1 Season,Docuseries,TV-MA,2018,80118913,The Mortified Guide,TV Show
"David Chang, Peter Meehan",United States,2/23/2018,"All the flavor. None of the BS. Star chef David Chang leads friends on a mouthwatering, cross-cultural hunt for the world's most satisfying grub.",,1 Season,Docuseries,TV-MA,2018,80170368,Ugly Delicious,TV Show
"Logic, Nas, Dave West, T.I., G-Eazy, 2 Chainz, Rapsody, Just Blaze, A Boogie Wit tha Hoodie",United States,3/30/2018,Groundbreaking artists share their life stories in this vibrant documentary series that captures hip-hop's impact on global culture.,,1 Season,Docuseries,TV-MA,2018,80145087,Rapture,TV Show
,United States,2/19/2019,"Examine the triumphs, tragedies, cultural shifts and technological leaps that occurred during the millennium's first decade.",,1 Season,Docuseries,TV-MA,2018,81027396,The 2000s,TV Show
,France,6/1/2018,"Survivors and first responders share personal stories of anguish, kindness and bravery that unfolded amid the Paris terror attacks of Nov. 13, 2015.",,1 Season,"Docuseries, International TV Shows",TV-MA,2018,80190097,November 13: Attack on Paris,TV Show
,New Zealand,7/20/2018,"From a nuclear lake to a haunted forest, journalist David Farrier visits unusual – and often macabre – tourism spots around the world.",,1 Season,"Docuseries, International TV Shows",TV-MA,2018,80189791,Dark Tourist,TV Show
Anitta,Brazil,11/16/2018,"Go behind the scenes with Brazilian pop icon Anitta, along with her friends and family, as she aims to create a new song and music video each month.",,1 Season,"Docuseries, International TV Shows, Reality TV",TV-MA,2018,80216621,Vai Anitta,TV Show
,,8/15/2018,"This documentary series lifts the mask on Mexican wrestling, diving into the daily lives of its stars, examining the sport’s cultural impact and more.",,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",TV-MA,2018,81014293,Nuestra Lucha Libre,TV Show
Snoop Dogg,United States,2/2/2018,"Fueled by his own rough upbringing, Snoop Dogg creates a youth football league to keep at-risk kids off the streets and focused on their goals.",,1 Season,"Docuseries, Reality TV",TV-MA,2018,80157137,Coach Snoop,TV Show
,United States,8/10/2018,Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers – and relief.,,1 Season,"Docuseries, Reality TV",TV-MA,2018,80188953,Afflicted,TV Show
,United States,3/2/2018,"Over a two-year period, filmmakers embedded with cops in Flint, Michigan, reveal a department grappling with volatile issues in untenable conditions.",,1 Season,"Docuseries, Science & Nature TV",TV-MA,2018,80156688,Flint Town,TV Show
"Oliver Hudson, Ben Schwartz, Paul Wesley, Aldis Hodge, Jonny Weston, Joseph Cross, Jake Abel, Derek Mio",United States,11/9/2018,"Honoring service members whose courage merited the awarding of a Medal of Honor, this docudrama series re-creates their inspiring true stories.",,1 Season,"Docuseries, TV Dramas",TV-MA,2018,80169786,Medal of Honor,TV Show
"Son Ye-jin, Jung Hae-in, Jang So-yeon",South Korea,5/26/2018,"Reunited with her best friend’s younger brother, who’s back from a stint abroad, a recently dumped career woman begins to see him in a new light.",,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV-MA,2018,80990935,Something in the Rain,TV Show
"Lee Byung-hun, Kim Tae-ri, Yoo Yeon-seok, Kim Min-jung, Byun Yo-han",South Korea,7/8/2018,A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.,Lee Eung-bok,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV-MA,2018,80991107,Mr. Sunshine,TV Show
,India,4/1/2019,"Food-crazed travel junkies journey across India, completing bucket list challenges for a chance to win a once-in-a-lifetime scholarship.",Bumpy,1 Season,"International TV Shows, Reality TV",TV-MA,2018,81066723,The Calling,TV Show
,,1/11/2019,New beginnings or old baggage? Four singles have one chance to reignite romance with an ex – or leave the past behind for good.,,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",TV-MA,2018,80210995,Back with the Ex,TV Show
"Atsushi Tamura, Mari Yaguchi",Japan,4/27/2018,"A group of men and women, each burdened with a dark secret, look for love in this dating show with a twist. Hosted by reformed playboy Atsushi Tamura.",,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",TV-MA,2018,80226927,REA(L)OVE,TV Show
"Nuengthida Sophon, Keerati Mahaprukpong, Arak Amornsupasiri, Malinee Adelaide Coates",Thailand,11/21/2018,"When a skilled but timid chef is possessed by a sassy spirit, her newfound confidence catches the eye of her longtime crush, a culinary hotshot.",,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",TV-MA,2018,80993625,Oh My Ghost,TV Show
"Eri Tokunaga, Daichi Watanabe, Fuju Kamio, Sairi Ito, Mina Fujii, Mansaku Ikeuchi, Kinuo Yamada, Yuka Ogura, Enon Kawatani, Yui Imaizumi, Noriko Eguchi, Masanobu Ando, Kitaro",Japan,11/30/2018,"Frustrated by life with her boyfriend, thirty-something Wako can’t stop herself from being interested in high schooler Yumeaki, despite their age gap.",,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",TV-MA,2018,81002951,Love and Fortune,TV Show
"Pablo Derqui, Mercedes Sampietro, Andrea Ros, Javier Beltrán, Paula Malia, David Vert, Muguet Franc, Miquel García Borda, Berta Garcia, Joel Bramona, Montse Guallar, Abel Folk, Sergi López, Òscar Jarque, Eli Iranzo",Spain,3/15/2019,"Eduard, a husband and father who loses his family in a tragic accident, travels to parallel universes to seek a better fate for his beloved wife.",,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",TV-MA,2018,80988860,If I Hadn't Met You,TV Show
"Christopher Von Uckermann, Horacio García Rojas, Gisselle Kuri, Fátima Molina, Dolores Heredia, Humberto Busto, Quetzalli Cortés, Alexa Martin, Flavio Medina, Dulce Neri, Mariana Botas",Mexico,12/21/2018,"When a young girl goes missing in a big city, a desperate priest joins a demon hunter and his motley crew on an otherworldly mission to find her.",,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",TV-MA,2018,80172145,Diablero,TV Show
